mouse_genes	HGNC.symbol
2510039O18Rik	KIAA2013
2610001J05Rik	SMIM30
2610021A01Rik	ZNF195
2610021A01Rik	ZNF429
2610301B20Rik	C8orf37
2610507B11Rik	KIAA0100
2610528A11Rik	C10orf99
2610528J11Rik	C1orf210
2700049A03Rik	KIAA0586
2700062C07Rik	C18orf21
2700081O15Rik	C11orf95
2810004N23Rik	C1orf131
2810006K23Rik	C12orf65
2900011O08Rik	BMERB1
2900026A02Rik	KIAA1671
3110009E18Rik	C2orf76
3110040N11Rik	C15orf40
3110082I17Rik	C7orf50
3830403N18Rik	SYCP3
3830406C13Rik	C3orf14
4430402I18Rik	SPATA6L
4833420G17Rik	C5orf34
4833439L19Rik	KIAA1191
4921507P07Rik	C7orf31
4921524J17Rik	C16orf87
4921536K21Rik	C5orf52
4930402H24Rik	C20orf194
4930404N11Rik	C19orf71
4930430F08Rik	C12orf29
4930432K21Rik	C19orf57
4930447C04Rik	C14orf39
4930452B06Rik	C3orf67
4930453N24Rik	C3orf38
4930503L19Rik	C18orf54
4930523C07Rik	KIAA0040
4930539E08Rik	C6orf222
4930550C14Rik	C11orf65
4930579G24Rik	C4orf46
4931406C07Rik	C11orf54
4931406P16Rik	KIAA0355
4931414P19Rik	C14orf93
4931428F04Rik	KIAA0895L
4932438A13Rik	KIAA1109
4932438H23Rik	C21orf62
4933408B17Rik	BRD8
4933427D14Rik	KIAA0753
4933434E20Rik	C1orf43
5031439G07Rik	KIAA0930
5330417C22Rik	KIAA1324
5430427O19Rik	CXorf21
5730409E04Rik	C1orf216
5730455P16Rik	C17orf75
5730480H06Rik	PACRGL
6030408B16Rik	SMIM41
6030458C11Rik	C5orf22
6030468B19Rik	C17orf99
6430548M08Rik	KIAA0513
6430550D23Rik	C20orf173
8030462N17Rik	C18orf25
8030474K03Rik	CXorf49
8030474K03Rik	CXorf49B
9130008F23Rik	C6orf141
9130401M01Rik	ZHX1-C8orf76
9130401M01Rik	C8orf76
9330182L06Rik	KIAA1324L
9430015G10Rik	C1orf159
9530068E07Rik	C5orf15
9530077C05Rik	KIAA0895
9930012K11Rik	C8orf58
9930021J03Rik	KIAA2026
9930104L06Rik	C1orf109
a	ASIP
A130010J15Rik	C1orf74
A230050P20Rik	C19orf66
A430005L14Rik	C1orf174
A730046J19Rik	SERTM2
AA467197	C15orf48
AA986860	C1orf116
Aaas	AAAS
Aacs	AACS
Aagab	AAGAB
Aak1	AAK1
Aamdc	AAMDC
Aamp	AAMP
Aar2	AAR2
Aars	AARS
Aars2	AARS2
Aarsd1	AARSD1
Aarsd1	PTGES3L-AARSD1
Aasdh	AASDH
Aasdhppt	AASDHPPT
Aatf	AATF
Aatk	AATK
AB124611	C19orf38
Abca1	ABCA1
Abca13	ABCA13
Abca2	ABCA2
Abca3	ABCA3
Abca4	ABCA4
Abca5	ABCA5
Abca7	ABCA7
Abca9	ABCA9
Abcb10	ABCB10
Abcb1a	ABCB1
Abcb1b	ABCB1
Abcb4	ABCB4
Abcb6	ABCB6
Abcb7	ABCB7
Abcb8	ABCB8
Abcb9	ABCB9
Abcc1	ABCC1
Abcc10	ABCC10
Abcc2	ABCC2
Abcc3	ABCC3
Abcc4	ABCC4
Abcc5	ABCC5
Abcd1	ABCD1
Abcd2	ABCD2
Abcd3	ABCD3
Abcd4	ABCD4
Abce1	ABCE1
Abcf1	ABCF1
Abcf2	ABCF2
Abcf3	ABCF3
Abcg1	ABCG1
Abcg3	ABCG2
Abcg4	ABCG4
Abhd1	ABHD1
Abhd10	ABHD10
Abhd11	ABHD11
Abhd12	ABHD12
Abhd13	ABHD13
Abhd14a	ABHD14A
Abhd14b	ABHD14B
Abhd15	ABHD15
Abhd16a	ABHD16A
Abhd17a	ABHD17A
Abhd17b	ABHD17B
Abhd17c	ABHD17C
Abhd18	ABHD18
Abhd2	ABHD2
Abhd4	ABHD4
Abhd5	ABHD5
Abhd6	ABHD6
Abhd8	ABHD8
Abi1	ABI1
Abi2	ABI2
Abi3	ABI3
Abl1	ABL1
Abl2	ABL2
Ablim1	ABLIM1
Ablim2	ABLIM2
Abr	ABR
Abracl	ABRACL
Abt1	ABT1
Abtb1	ABTB1
Abtb2	ABTB2
Acaa1a	ACAA1
Acaa2	ACAA2
Acaca	ACACA
Acacb	ACACB
Acad10	ACAD10
Acad11	ACAD11
Acad12	ACAD10
Acad8	ACAD8
Acad9	ACAD9
Acadl	ACADL
Acadm	ACADM
Acads	ACADS
Acadsb	ACADSB
Acadvl	ACADVL
Acap1	ACAP1
Acap2	ACAP2
Acap3	ACAP3
Acat1	ACAT1
Acat2	ACAT2
Acat3	ACAT2
Acbd3	ACBD3
Acbd4	ACBD4
Acbd5	ACBD5
Acbd6	ACBD6
Acbd7	ACBD7
Accs	ACCS
Acd	ACD
Ace	ACE
Acer2	ACER2
Acer3	ACER3
Ache	ACHE
Acin1	ACIN1
Ackr1	ACKR1
Acly	ACLY
Acmsd	ACMSD
Aco1	ACO1
Aco2	ACO2
Acod1	ACOD1
Acot1	ACOT1
Acot1	ACOT2
Acot10	ACOT9
Acot11	ACOT11
Acot13	ACOT13
Acot2	ACOT1
Acot2	ACOT2
Acot4	ACOT4
Acot6	ACOT6
Acot7	ACOT7
Acot8	ACOT8
Acot9	ACOT9
Acox1	ACOX1
Acox3	ACOX3
Acoxl	ACOXL
Acp2	ACP2
Acp5	ACP5
Acp6	ACP6
Acpp	ACPP
Acrbp	ACRBP
Acsbg1	ACSBG1
Acsf2	ACSF2
Acsf3	ACSF3
Acsl1	ACSL1
Acsl3	ACSL3
Acsl4	ACSL4
Acsl5	ACSL5
Acsl6	ACSL6
Acss1	ACSS1
Acss2	ACSS2
Acta2	ACTA2
Actb	ACTB
Actg1	ACTG1
Actl6a	ACTL6A
Actn1	ACTN1
Actn2	ACTN2
Actn3	ACTN3
Actn4	ACTN4
Actr10	ACTR10
Actr1a	ACTR1A
Actr1b	ACTR1B
Actr2	ACTR2
Actr3	ACTR3
Actr3b	ACTR3C
Actr3b	ACTR3B
Actr5	ACTR5
Actr6	ACTR6
Actr8	ACTR8
Acvr1	ACVR1
Acvr1b	ACVR1B
Acvr2a	ACVR2A
Acvr2b	ACVR2B
Acvrl1	ACVRL1
Acy1	ABHD14A-ACY1
Acy1	ACY1
Acy3	ACY3
Acyp1	ACYP1
Acyp2	ACYP2
Ada	ADA
Adal	ADAL
Adam10	ADAM10
Adam11	ADAM11
Adam15	ADAM15
Adam17	ADAM17
Adam2	ADAM2
Adam22	ADAM22
Adam28	ADAM28
Adam33	ADAM33
Adam8	ADAM8
Adam9	ADAM9
Adamts10	ADAMTS10
Adamts13	ADAMTS13
Adamts14	ADAMTS14
Adamts17	ADAMTS17
Adamts3	ADAMTS3
Adamts6	ADAMTS6
Adamtsl4	ADAMTSL4
Adamtsl5	ADAMTSL5
Adap1	ADAP1
Adar	ADAR
Adarb1	ADARB1
Adat1	ADAT1
Adat2	ADAT2
Adat3	ADAT3
Adck1	ADCK1
Adck2	ADCK2
Adck5	ADCK5
Adcy3	ADCY3
Adcy4	ADCY4
Adcy6	ADCY6
Adcy7	ADCY7
Adcy9	ADCY9
Add1	ADD1
Add2	ADD2
Add3	ADD3
Adgra3	ADGRA3
Adgrb2	ADGRB2
Adgrd1	ADGRD1
Adgre1	ADGRE1
Adgre5	ADGRE5
Adgrf3	ADGRF3
Adgrg1	ADGRG1
Adgrg2	ADGRG2
Adgrg3	ADGRG3
Adgrg5	ADGRG5
Adgrg7	ADGRG7
Adgrl1	ADGRL1
Adgrl2	ADGRL2
Adgrl4	ADGRL4
Adh5	ADH5
Adhfe1	ADHFE1
Adi1	ADI1
Adipor1	ADIPOR1
Adipor2	ADIPOR2
Adk	ADK
Adm	ADM
Adnp	ADNP
Adnp2	ADNP2
Ado	ADO
Adora2a	ADORA2A
Adora2b	ADORA2B
Adora3	ADORA3
Adpgk	ADPGK
Adprh	ADPRH
Adprhl2	ADPRHL2
Adprm	ADPRM
Adrb1	ADRB1
Adrb2	ADRB2
Adrm1	ADRM1
Adsl	ADSL
Adss	ADSS
Adssl1	ADSSL1
Adtrp	ADTRP
Aebp1	AEBP1
Aebp2	AEBP2
Aen	AEN
Aes	TLE5
Afap1	AFAP1
Afap1l1	AFAP1L1
Afdn	AFDN
Aff1	AFF1
Aff3	AFF3
Aff4	AFF4
Afg3l2	AFG3L2
Afmid	AFMID
Afp	AFP
Aftph	AFTPH
Aga	AGA
Agap1	AGAP1
Agap2	AGAP2
Agap3	AGAP3
Agbl3	AGBL3
Agbl5	AGBL5
Ager	AGER
Agfg1	AGFG1
Agfg2	AGFG2
Aggf1	AGGF1
Agk	AGK
Agl	AGL
Agmat	AGMAT
Agmo	AGMO
Ago1	AGO1
Ago2	AGO2
Ago3	AGO3
Ago4	AGO4
Agpat1	AGPAT1
Agpat2	AGPAT2
Agpat3	AGPAT3
Agpat4	AGPAT4
Agpat5	AGPAT5
Agps	AGPS
Agrn	AGRN
Agrp	AGRP
Agtpbp1	AGTPBP1
Agtr1a	AGTR1
Agtrap	AGTRAP
Ahctf1	AHCTF1
Ahcy	AHCY
Ahcyl1	AHCYL1
Ahcyl2	AHCYL2
Ahdc1	AHDC1
Ahi1	AHI1
Ahnak	AHNAK
Ahr	AHR
Ahsa1	AHSA1
AI429214	C8orf48
AI467606	C16orf54
AI597479	C2orf49
AI661453	C6orf132
AI837181	C11orf68
Aida	AIDA
Aif1	AIF1
Aif1l	AIF1L
Aifm1	AIFM1
Aifm2	AIFM2
Aig1	AIG1
Aim2	AIM2
Aimp1	AIMP1
Aimp2	AIMP2
Aip	AIP
Aipl1	AIPL1
Aire	AIRE
Ajuba	AJUBA
Ak1	AK1
AK157302	ISCA1
Ak2	AK2
Ak3	AK3
Ak4	AK4
Ak5	AK5
Ak6	TAF9
Ak8	AK8
Akap1	AKAP1
Akap10	AKAP10
Akap11	AKAP11
Akap12	AKAP12
Akap13	AKAP13
Akap5	AKAP5
Akap7	AKAP7
Akap8	AKAP8
Akap8l	AKAP8L
Akap9	AKAP9
Akip1	AKIP1
Akirin1	AKIRIN1
Akirin2	AKIRIN2
Akna	AKNA
Aknad1	AKNAD1
Akr1a1	AKR1A1
Akr1b10	AKR1B10
Akr1b3	AKR1B1
Akr1e1	AKR1E2
Akr7a5	AKR7L
Akt1	AKT1
Akt1s1	AKT1S1
Akt2	AKT2
Akt3	AKT3
Aktip	AKTIP
Alad	ALAD
Alas1	ALAS1
Alas2	ALAS2
Alcam	ALCAM
Aldh16a1	ALDH16A1
Aldh18a1	ALDH18A1
Aldh1a1	ALDH1A1
Aldh1a3	ALDH1A3
Aldh1a7	ALDH1A1
Aldh1b1	ALDH1B1
Aldh1l1	ALDH1L1
Aldh2	ALDH2
Aldh3a2	ALDH3A2
Aldh3b1	ALDH3B1
Aldh3b2	ALDH3B2
Aldh3b3	ALDH3B2
Aldh4a1	ALDH4A1
Aldh5a1	ALDH5A1
Aldh6a1	ALDH6A1
Aldh7a1	ALDH7A1
Aldh9a1	ALDH9A1
Aldoa	ALDOA
Aldoart1	ALDOA
Aldoc	ALDOC
Alg1	ALG1L
Alg1	ALG1
Alg1	ALG1L2
Alg10b	ALG10B
Alg10b	ALG10
Alg11	ALG11
Alg12	ALG12
Alg14	ALG14
Alg2	ALG2
Alg3	ALG3
Alg5	ALG5
Alg6	ALG6
Alg8	ALG8
Alg9	ALG9
Alkbh1	ALKBH1
Alkbh2	ALKBH2
Alkbh3	ALKBH3
Alkbh4	ALKBH4
Alkbh5	ALKBH5
Alkbh6	ALKBH6
Alkbh7	ALKBH7
Alkbh8	ALKBH8
Alms1	ALMS1
Alox15	ALOX15
Alox5	ALOX5
Alox5ap	ALOX5AP
Alox8	ALOX15B
Alpk1	ALPK1
Alpk2	ALPK2
Alpk3	ALPK3
Alpl	ALPL
Als2	ALS2
Als2cl	ALS2CL
Alyref	ALYREF
Alyref2	ALYREF
Amacr	AMACR
Ambp	AMBP
Ambra1	AMBRA1
Amd1	AMD1
Amd2	AMD1
Amdhd1	AMDHD1
Amdhd2	AMDHD2
Amer1	AMER1
Amer2	AMER2
Amfr	AMFR
Amh	AMH
Amigo1	AMIGO1
Amigo2	AMIGO2
Amigo3	AMIGO3
Ammecr1	AMMECR1
Ammecr1l	AMMECR1L
Amn1	AMN1
Amot	AMOT
Amotl2	AMOTL2
Ampd1	AMPD1
Ampd2	AMPD2
Ampd3	AMPD3
Amt	AMT
Amz1	AMZ1
Amz2	AMZ2
Anapc1	ANAPC1
Anapc13	ANAPC13
Anapc15	ANAPC15
Anapc15-ps	ANAPC15
Anapc16	ANAPC16
Anapc2	ANAPC2
Anapc4	ANAPC4
Anapc5	ANAPC5
Anapc7	ANAPC7
Ang	ANG
Angel1	ANGEL1
Angel2	ANGEL2
Angpt1	ANGPT1
Angpt2	ANGPT2
Angptl2	ANGPTL2
Angptl3	ANGPTL3
Angptl4	ANGPTL4
Angptl6	ANGPTL6
Angptl8	ANGPTL8
Ank	ANKH
Ank1	ANK1
Ankfy1	ANKFY1
Ankhd1	ANKHD1-EIF4EBP3
Ankhd1	ANKHD1
Ankib1	ANKIB1
Ankle1	ANKLE1
Ankle2	ANKLE2
Ankmy1	ANKMY1
Ankmy2	ANKMY2
Ankra2	ANKRA2
Ankrd10	ANKRD10
Ankrd11	ANKRD11
Ankrd12	ANKRD12
Ankrd13a	ANKRD13A
Ankrd13b	ANKRD13B
Ankrd13c	ANKRD13C
Ankrd13d	ANKRD13D
Ankrd16	ANKRD16
Ankrd17	ANKRD17
Ankrd22	ANKRD22
Ankrd23	ANKRD23
Ankrd24	ANKRD24
Ankrd27	ANKRD27
Ankrd28	ANKRD28
Ankrd29	ANKRD29
Ankrd33b	ANKRD33B
Ankrd35	ANKRD35
Ankrd37	ANKRD37
Ankrd39	ANKRD39
Ankrd40	ANKRD40
Ankrd42	ANKRD42
Ankrd44	ANKRD44
Ankrd46	ANKRD46
Ankrd49	ANKRD49
Ankrd50	ANKRD50
Ankrd52	ANKRD52
Ankrd54	ANKRD54
Ankrd6	ANKRD6
Ankrd63	ANKRD63
Ankrd9	ANKRD9
Anks1	ANKS1A
Anks3	ANKS3
Ankzf1	ANKZF1
Anln	ANLN
Ano10	ANO10
Ano6	ANO6
Ano7	ANO7
Ano8	ANO8
Anp32a	ANP32A
Anp32a	ANP32D
Anp32b	ANP32B
Anp32e	ANP32E
Anpep	ANPEP
Antxr1	ANTXR1
Antxr2	ANTXR2
Anxa1	ANXA1
Anxa11	ANXA11
Anxa2	ANXA2
Anxa3	ANXA3
Anxa4	ANXA4
Anxa5	ANXA5
Anxa6	ANXA6
Anxa7	ANXA7
Anxa9	ANXA9
Aoah	AOAH
Aoc2	AOC2
Ap1ar	AP1AR
Ap1b1	AP1B1
Ap1g1	AP1G1
Ap1g2	AP1G2
Ap1m1	AP1M1
Ap1m2	AP1M2
Ap1s1	AP1S1
Ap1s2	AP1S2
Ap1s3	AP1S3
Ap2a1	AP2A1
Ap2a2	AP2A2
Ap2b1	AP2B1
Ap2m1	AP2M1
Ap2s1	AP2S1
Ap3b1	AP3B1
Ap3d1	AP3D1
Ap3m1	AP3M1
Ap3m2	AP3M2
Ap3s1	AP3S1
Ap3s2	AP3S2
Ap4b1	AP4B1
Ap4e1	AP4E1
Ap4m1	AP4M1
Ap4s1	AP4S1
Ap5b1	AP5B1
Ap5m1	AP5M1
Ap5s1	AP5S1
Ap5z1	AP5Z1
Apaf1	APAF1
Apba1	APBA1
Apbb1	APBB1
Apbb1ip	APBB1IP
Apbb2	APBB2
Apc	APC
Apc2	APC2
Apeh	APEH
Apex1	APEX1
Apex2	APEX2
Aph1a	APH1A
Aph1b	APH1B
Aph1c	APH1B
Api5	API5
Apip	APIP
Aplf	APLF
Apln	APLN
Aplnr	APLNR
Aplp2	APLP2
Apmap	APMAP
Apoa1	APOA1
Apoa2	APOA2
Apob	APOB
Apobec1	APOBEC1
Apobec2	APOBEC2
Apobec3	APOBEC3H
Apobr	APOBR
Apoc1	APOC1
Apoe	APOE
Apold1	APOLD1
Apoo	APOO
Apool	APOOL
Apopt1	APOPT1
App	APP
Appbp2	APPBP2
Appl1	APPL1
Appl2	APPL2
Aprt	APRT
Aptx	APTX
Aqp1	AQP1
Aqp11	AQP11
Aqp3	AQP3
Aqp9	AQP9
Aqr	AQR
Ar	AR
Araf	ARAF
Arap1	ARAP1
Arap2	ARAP2
Arap3	ARAP3
Arcn1	ARCN1
Arel1	AREL1
Arf1	ARF1
Arf2	ARL17B
Arf2	ARL17A
Arf3	ARF3
Arf4	ARF4
Arf5	ARF5
Arf6	ARF6
Arfgap1	ARFGAP1
Arfgap2	ARFGAP2
Arfgap3	ARFGAP3
Arfgef1	ARFGEF1
Arfgef2	ARFGEF2
Arfgef3	ARFGEF3
Arfip1	ARFIP1
Arfip2	ARFIP2
Arfrp1	ARFRP1
Arg2	ARG2
Arglu1	ARGLU1
Arhgap1	ARHGAP1
Arhgap10	ARHGAP10
Arhgap11a	ARHGAP11A
Arhgap12	ARHGAP12
Arhgap15	ARHGAP15
Arhgap17	ARHGAP17
Arhgap18	ARHGAP18
Arhgap19	ARHGAP19-SLIT1
Arhgap19	ARHGAP19
Arhgap21	ARHGAP21
Arhgap23	ARHGAP23
Arhgap24	ARHGAP24
Arhgap25	ARHGAP25
Arhgap26	ARHGAP26
Arhgap27	ARHGAP27
Arhgap28	ARHGAP28
Arhgap29	ARHGAP29
Arhgap30	ARHGAP30
Arhgap31	ARHGAP31
Arhgap32	ARHGAP32
Arhgap33	ARHGAP33
Arhgap35	ARHGAP35
Arhgap39	ARHGAP39
Arhgap4	ARHGAP4
Arhgap5	ARHGAP5
Arhgap6	ARHGAP6
Arhgap9	ARHGAP9
Arhgdia	ARHGDIA
Arhgdib	ARHGDIB
Arhgdig	ARHGDIG
Arhgef1	ARHGEF1
Arhgef10	ARHGEF10
Arhgef10l	ARHGEF10L
Arhgef11	ARHGEF11
Arhgef12	ARHGEF12
Arhgef15	ARHGEF15
Arhgef17	ARHGEF17
Arhgef18	ARHGEF18
Arhgef2	ARHGEF2
Arhgef25	ARHGEF25
Arhgef26	ARHGEF26
Arhgef28	ARHGEF28
Arhgef3	ARHGEF3
Arhgef37	ARHGEF37
Arhgef39	ARHGEF39
Arhgef4	SMIM39
Arhgef4	ARHGEF4
Arhgef40	ARHGEF40
Arhgef5	ARHGEF5
Arhgef6	ARHGEF6
Arhgef7	ARHGEF7
Arhgef9	ARHGEF9
Arid1a	ARID1A
Arid1b	ARID1B
Arid2	ARID2
Arid3a	ARID3A
Arid3b	ARID3B
Arid4a	ARID4A
Arid4b	ARID4B
Arid5a	ARID5A
Arid5b	ARID5B
Arih1	ARIH1
Arih2	ARIH2
Arl1	ARL1
Arl10	ARL10
Arl11	ARL11
Arl13b	ARL13B
Arl14ep	ARL14EP
Arl15	ARL15
Arl16	ARL16
Arl2	ARL2
Arl2bp	ARL2BP
Arl3	ARL3
Arl4a	ARL4A
Arl4c	ARL4C
Arl4d	ARL4D
Arl5a	ARL5A
Arl5b	ARL5B
Arl5c	ARL5C
Arl6	ARL6
Arl6ip1	ARL6IP1
Arl6ip4	ARL6IP4
Arl6ip5	ARL6IP5
Arl6ip6	ARL6IP6
Arl8a	ARL8A
Arl8b	ARL8B
Armc1	ARMC1
Armc10	ARMC10
Armc2	ARMC2
Armc3	ARMC3
Armc5	ARMC5
Armc6	ARMC6
Armc7	ARMC7
Armc8	ARMC8
Armc9	ARMC9
Armcx1	ARMCX1
Armcx2	ARMCX2
Armcx3	ARMCX3
Armcx4	ARMCX4
Armcx5	ARMCX5
Armcx6	ARMCX6
Armt1	ARMT1
Arnt	ARNT
Arntl	ARNTL
Arpc1a	ARPC1A
Arpc1b	ARPC1B
Arpc2	ARPC2
Arpc3	ARPC3
Arpc4	ARPC4
Arpc5	ARPC5
Arpc5l	ARPC5L
Arpin	ARPIN
Arpin	ARPIN-AP3S2
Arpp19	ARPP19
Arpp21	ARPP21
Arrb1	ARRB1
Arrb2	ARRB2
Arrdc1	ARRDC1
Arrdc2	ARRDC2
Arrdc3	ARRDC3
Arrdc4	ARRDC4
Arsa	ARSA
Arsb	ARSB
Arsg	ARSG
Arsi	ARSI
Arsk	ARSK
Art1	ART1
Art3	ART3
Art4	ART4
Art5	ART5
Arv1	ARV1
Arvcf	ARVCF
Arxes2	SPCS3
As3mt	AS3MT
Asah1	ASAH1
Asah2	ASAH2
Asah2	ASAH2B
Asap1	ASAP1
Asap2	ASAP2
Asb1	ASB1
Asb13	ASB13
Asb16	ASB16
Asb17	ASB17
Asb2	ASB2
Asb3	ASB3
Asb4	ASB4
Asb5	ASB5
Asb6	ASB6
Asb7	ASB7
Asb8	ASB8
Ascc1	ASCC1
Ascc2	ASCC2
Ascc3	ASCC3
Ascl2	ASCL2
Asf1a	ASF1A
Asf1b	ASF1B
Asgr1	ASGR1
Asgr2	ASGR2
Ash1l	ASH1L
Ash2l	ASH2L
Asna1	ASNA1
Asns	ASNS
Asnsd1	ASNSD1
Aspa	ASPA
Asph	ASPH
Aspm	ASPM
Asprv1	ASPRV1
Aspscr1	ASPSCR1
Asrgl1	ASRGL1
Ass1	ASS1
Aste1	ASTE1
Asxl1	ASXL1
Asxl2	ASXL2
Atad1	ATAD1
Atad2b	ATAD2B
Atad3a	ATAD3A
Atad5	ATAD5
Atat1	ATAT1
Ate1	ATE1
Atf1	ATF1
Atf2	ATF2
Atf3	ATF3
Atf4	ATF4
Atf5	ATF5
Atf6	ATF6
Atf6b	ATF6B
Atf7	ATF7
Atf7ip	ATF7IP
Atg10	ATG10
Atg101	ATG101
Atg12	ATG12
Atg13	ATG13
Atg14	ATG14
Atg16l1	ATG16L1
Atg16l2	ATG16L2
Atg2a	ATG2A
Atg2b	ATG2B
Atg3	ATG3
Atg4a	ATG4A
Atg4b	ATG4B
Atg4c	ATG4C
Atg4d	ATG4D
Atg5	ATG5
Atg7	ATG7
Atg9a	ATG9A
Atg9b	ATG9B
Atic	ATIC
Atl1	ATL1
Atl2	ATL2
Atl3	ATL3
Atm	ATM
Atmin	ATMIN
Atn1	ATN1
Atox1	ATOX1
Atp10a	ATP10A
Atp10d	ATP10D
Atp11a	ATP11A
Atp11b	ATP11B
Atp11c	ATP11C
Atp13a1	ATP13A1
Atp13a2	ATP13A2
Atp13a3	ATP13A3
Atp1a1	ATP1A1
Atp1a3	ATP1A3
Atp1b1	ATP1B1
Atp1b2	ATP1B2
Atp1b3	ATP1B3
Atp23	ATP23
Atp2a1	ATP2A1
Atp2a2	ATP2A2
Atp2a3	ATP2A3
Atp2b1	ATP2B1
Atp2b4	ATP2B4
Atp2c1	ATP2C1
Atp2c2	ATP2C2
Atp4a	ATP4A
Atp4b	ATP4B
Atp5a1	ATP5F1A
Atp5b	ATP5F1B
Atp5c1	ATP5F1C
Atp5d	ATP5F1D
Atp5e	ATP5F1E
Atp5f1	ATP5PB
Atp5g3	ATP5MC3
Atp5h	ATP5PD
Atp5j	ATP5PF
Atp5j2	ATP5MF
Atp5k	ATP5ME
Atp5l	ATP5MG
Atp5l	ATP5MGL
Atp5o	ATP5PO
Atp6ap1	ATP6AP1
Atp6ap2	ATP6AP2
Atp6v0a1	ATP6V0A1
Atp6v0a2	ATP6V0A2
Atp6v0a4	ATP6V0A4
Atp6v0b	ATP6V0B
Atp6v0c	ATP6V0C
Atp6v0d1	ATP6V0D1
Atp6v0e	ATP6V0E1
Atp6v1a	ATP6V1A
Atp6v1b2	ATP6V1B2
Atp6v1c1	ATP6V1C1
Atp6v1d	ATP6V1D
Atp6v1e1	ATP6V1E1
Atp6v1f	ATP6V1F
Atp6v1g1	ATP6V1G1
Atp6v1g2	ATP6V1G2-DDX39B
Atp6v1g2	ATP6V1G2
Atp6v1h	ATP6V1H
Atp7a	ATP7A
Atp7b	ATP7B
Atp8a1	ATP8A1
Atp8a2	ATP8A2
Atp8b1	ATP8B1
Atp8b2	ATP8B2
Atp8b4	ATP8B4
Atp9a	ATP9A
Atp9b	ATP9B
Atpaf1	ATPAF1
Atpaf2	ATPAF2
Atpif1	ATP5IF1
Atr	ATR
Atraid	ATRAID
Atrip	ATRIP
Atrn	ATRN
Atrnl1	ATRNL1
Atrx	ATRX
Atxn1	ATXN1
Atxn10	ATXN10
Atxn1l	ATXN1L
Atxn2	ATXN2
Atxn2l	ATXN2L
Atxn3	ATXN3L
Atxn7	ATXN7
Atxn7l1	ATXN7L1
Atxn7l2	ATXN7L2
Atxn7l3	ATXN7L3
Atxn7l3b	ATXN7L3B
AU022252	C1orf50
AU040320	KIAA0319L
Auh	AUH
Aunip	AUNIP
Aup1	AUP1
Aurka	AURKA
Aurkaip1	AURKAIP1
Aurkb	AURKB
Auts2	AUTS2
Aven	AVEN
Avl9	AVL9
Avpi1	AVPI1
AW209491	C7orf25
AW549877	C5orf51
AW554918	KIAA1328
Awat2	AWAT2
Axin1	AXIN1
Axin2	AXIN2
Axl	AXL
Azi2	AZI2
Azin1	AZIN1
Azin2	AZIN2
B230118H07Rik	C11orf74
B230219D22Rik	C5orf24
B2m	B2M
B3galnt1	B3GALNT1
B3galnt2	B3GALNT2
B3galt2	B3GALT2
B3galt4	B3GALT4
B3galt6	B3GALT6
B3gat2	B3GAT2
B3gat3	B3GAT3
B3glct	B3GLCT
B3gnt2	B3GNT2
B3gnt3	B3GNT3
B3gnt4	B3GNT4
B3gnt5	B3GNT5
